name,category,subcategory,address,city,country_code,latitude,longitude,website,phone,source_record_id
Healthway Medical (Yishun Ave 6),salud,walk_in_clinic,"Blk 461, Yishun Ave 6, #01-05",Singapore,SG,1.4283806085586548,103.84980773925781,https://www.healthwaymedical.com/gp-family-medicine/,62354824,d850fd1c-eb2c-43c1-a29a-682887e62fac
Kulto,restaurantes,spanish_restaurant,87 Amoy St,Singapore,SG,1.2809978723526,103.84699249267578,https://www.kulto.com.sg,+6596205626,4474e453-5797-4267-9a69-2a9d2a73a5cb
Fish & Co.,restaurantes,seafood_restaurant,"83 Punggol Central, B1-18 Waterway Point East Wing",Singapore,SG,1.4068012237548828,103.90253448486328,http://www.fish-co.com/,+6563859061,77214ca8-134a-4033-88fc-e7dc57451ba7
Priority Consultants,servicios,public_relations,30 Mohamed Sultan Rd,Singapore,SG,1.2927857637405396,103.84110260009766,https://priorityconsultants.com/,+6563381006,c76b3187-8209-4df7-8f5c-08b622d1948b
Eurocloth Textiles,tiendas,fabric_store,"40 Ubi Cres, #01-09 Ubi Techpark",Singapore,SG,1.3268604278564453,103.89612579345703,https://www.eurocloth.com/,+6562952952,c112291d-9960-4a77-9c39-1c2950c3c224
Women's Medical Group Fetal Assessment Centre,salud,maternity_center,10 Sinara Drive #08-05/06,Singapore,SG,1.3205736875534058,103.84405517578125,http://www.swcmedicalgroup.com.sg,6970 7030,0234988a-0215-453a-8f67-470251464e01
Sultans of Shave,belleza,barber,11 North Canal Rd,Singapore,SG,1.2861672639846802,103.84873962402344,http://www.sultansofshave.com,+6562220201,53cc4c13-fc43-4313-b984-c52affe1f7f5
Birds of Paradise Gelato Boutique,restaurantes,gelato_shop,"63 E Coast Rd, #01-05",Singapore,SG,1.3052027225494385,103.90357971191406,https://www.birdsofparadise.sg,+6596786092,6f9ccff2-6446-43f8-b404-404748ff445a
Smiths Authentic British Fish and Chips,restaurantes,fish_and_chips_restaurant,"271 Bukit Timah Rd, #01-02 Balmoral Plaza",Singapore,SG,1.3163646459579468,103.83573913574219,http://www.smithsfishandchips.com,+6567379313,d63d50c0-aeac-4a65-92bf-400cb767a92e
Adam's Meat,servicios,meat_wholesaler,"1 Kaki Bukit Rd 1, #03-45/46 Enterprise One",Singapore,SG,1.3323835134506226,103.90227508544922,http://www.adamhalal.sg/,+6567434786,d194fd7f-0aa1-45d9-8fe0-e492c5b0567b
